Plant_Number,PRODUCT,Model,FG CODE,DESCRIPTION
6041,REF-DPL,9160,F01000053500,REF 9160LF AVANTE+ CLOUD WHITE Dawlance
6041,REF-URIL,9173,F01000055600,REF 9173WB AVANTE+ CLOUD WHITE Dawlance
6041,REF-URIL,9191,F01000053700,REF 9191WB AVANTE+ Cloud White Dawlance
6041,REF-URIL,9178,F01000053600,REF 9178LF AVANTE+ Cloud White Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000014400,DAWLANCE SBS 600 INV BLACK GD
6061,REF-DPL SKD,REF-DPL SKD,F01000045900,DSD 4890 Dawlance
6061,REF-DPL SKD,REF-DPL SKD,F01000047000,DMB 4467 MiniBar Dawlance
6062,Split-Local,PurSense-30,1000049000,Prima PurSense Inverter 30 Dawlance
6062,Split-Local,PurSense-30,F01000046100,PurSense Inverter 30 Dawlance
6062,SDA-CKD,TABLE BLENDER,F01000030000,DWTB 510 W
6062,SDA-CKD,TABLE BLENDER,F01000030200,DWTB 620 I
6062,SDA-CKD,TABLE BLENDER,F01000030100,DWTB 520  B
6041,DF-VF,VF,F01000000263,VF 1035WB GD AVANTE+ LUXE BROWN
6041,DF-VF,VF,F01000000237,VF 1035WB GD AVANTE+ EMERALD GREEN
6041,DF-VF,VF,F01000000135,VF 1035WB GD(MG BLACK HONEY COMB) R-600a
6041,DF-VF,VF,F01000006300,VF 1035WB GD AVANTE+ CLOUD WHITE
6041,DF-VF,VF,F01000012200,VF 1035WB GD BURGUNDY HONEY-COMB
